,class,file,truePositives,falsePositives,trueNegatives,falseNegatives,Specificity,Sensitivity,Precision,Accuracy,F1
1926,Skyscraper,D00589.obj,3,16,2183,16,0.9927239654388358,0.15789473684210525,0.15789473684210525,0.9855725879170424,0.15789473684210525
1927,Skyscraper,D00641.obj,4,15,2184,15,0.9931787175989086,0.21052631578947367,0.21052631578947367,0.9864743011722272,0.21052631578947367
1928,Skyscraper,D00664.obj,4,15,2184,15,0.9931787175989086,0.21052631578947367,0.21052631578947367,0.9864743011722272,0.21052631578947367
1929,Skyscraper,D00822.obj,1,18,2181,18,0.9918144611186903,0.05263157894736842,0.05263157894736842,0.9837691614066727,0.05263157894736842
1930,Skyscraper,D00870.obj,11,8,2191,8,0.9963619827194179,0.5789473684210527,0.5789473684210527,0.9927862939585211,0.5789473684210527
1931,Skyscraper,D00872.obj,2,17,2182,17,0.992269213278763,0.10526315789473684,0.10526315789473684,0.9846708746618575,0.10526315789473684
1932,Skyscraper,D00998.obj,1,18,2181,18,0.9918144611186903,0.05263157894736842,0.05263157894736842,0.9837691614066727,0.05263157894736842
1933,Starship,m1353.obj,6,24,2164,24,0.9890310786106032,0.2,0.2,0.9783588818755635,0.20000000000000004
1934,Starship,m1354.obj,3,27,2161,27,0.9876599634369287,0.1,0.1,0.975653742110009,0.10000000000000002
1935,Starship,m1355.obj,7,23,2165,23,0.9894881170018281,0.23333333333333334,0.23333333333333334,0.9792605951307484,0.23333333333333334
1936,Starship,m1356.obj,5,25,2163,25,0.9885740402193784,0.16666666666666666,0.16666666666666666,0.9774571686203787,0.16666666666666666
1937,Starship,m1358.obj,6,24,2164,24,0.9890310786106032,0.2,0.2,0.9783588818755635,0.20000000000000004
1938,Starship,m1359.obj,4,26,2162,26,0.9881170018281535,0.13333333333333333,0.13333333333333333,0.9765554553651938,0.13333333333333333
1939,Starship,m1360.obj,2,28,2160,28,0.9872029250457038,0.06666666666666667,0.06666666666666667,0.9747520288548241,0.06666666666666667
1940,Starship,m1361.obj,5,25,2163,25,0.9885740402193784,0.16666666666666666,0.16666666666666666,0.9774571686203787,0.16666666666666666
1941,Starship,m1362.obj,5,25,2163,25,0.9885740402193784,0.16666666666666666,0.16666666666666666,0.9774571686203787,0.16666666666666666
1942,Starship,m1364.obj,5,25,2163,25,0.9885740402193784,0.16666666666666666,0.16666666666666666,0.9774571686203787,0.16666666666666666
1943,Starship,m1365.obj,4,26,2162,26,0.9881170018281535,0.13333333333333333,0.13333333333333333,0.9765554553651938,0.13333333333333333
1944,Starship,m1366.obj,6,24,2164,24,0.9890310786106032,0.2,0.2,0.9783588818755635,0.20000000000000004
1945,Starship,m1368.obj,2,28,2160,28,0.9872029250457038,0.06666666666666667,0.06666666666666667,0.9747520288548241,0.06666666666666667
1946,Starship,m1369.obj,1,29,2159,29,0.9867458866544789,0.03333333333333333,0.03333333333333333,0.9738503155996393,0.03333333333333333
1947,Starship,m1370.obj,7,23,2165,23,0.9894881170018281,0.23333333333333334,0.23333333333333334,0.9792605951307484,0.23333333333333334
1948,Starship,m1371.obj,3,27,2161,27,0.9876599634369287,0.1,0.1,0.975653742110009,0.10000000000000002
1949,Starship,m1372.obj,5,25,2163,25,0.9885740402193784,0.16666666666666666,0.16666666666666666,0.9774571686203787,0.16666666666666666
1950,Starship,m1373.obj,7,23,2165,23,0.9894881170018281,0.23333333333333334,0.23333333333333334,0.9792605951307484,0.23333333333333334
1951,Starship,m1374.obj,1,29,2159,29,0.9867458866544789,0.03333333333333333,0.03333333333333333,0.9738503155996393,0.03333333333333333
1952,Starship,m1375.obj,1,29,2159,29,0.9867458866544789,0.03333333333333333,0.03333333333333333,0.9738503155996393,0.03333333333333333
1953,Starship,m1376.obj,1,29,2159,29,0.9867458866544789,0.03333333333333333,0.03333333333333333,0.9738503155996393,0.03333333333333333
1954,Starship,m1378.obj,6,24,2164,24,0.9890310786106032,0.2,0.2,0.9783588818755635,0.20000000000000004
1955,Starship,m1379.obj,5,25,2163,25,0.9885740402193784,0.16666666666666666,0.16666666666666666,0.9774571686203787,0.16666666666666666
1956,Starship,m1380.obj,3,27,2161,27,0.9876599634369287,0.1,0.1,0.975653742110009,0.10000000000000002
1957,Starship,m1381.obj,2,28,2160,28,0.9872029250457038,0.06666666666666667,0.06666666666666667,0.9747520288548241,0.06666666666666667
1958,Starship,m1382.obj,2,28,2160,28,0.9872029250457038,0.06666666666666667,0.06666666666666667,0.9747520288548241,0.06666666666666667
1959,Starship,m1383.obj,2,28,2160,28,0.9872029250457038,0.06666666666666667,0.06666666666666667,0.9747520288548241,0.06666666666666667
1960,Starship,m1384.obj,2,28,2160,28,0.9872029250457038,0.06666666666666667,0.06666666666666667,0.9747520288548241,0.06666666666666667
